Year when drafted,Round drafted,Overall pick,Name,Position,Organization,school,age when drafted ,Birth date,Bats,Throws ,education type,Drafted before,Minor-League level started at,if the player appeared in rookie leagues,Number of games played in Rookie Leagues,Number of plate appearances in Rookie Leagues,If the player appeared in Short-Season-A,Number of games played in Short-Season-A,Number of plate appearances in Short-Season-A,If the player appeared in Low-A ,Number of games played in Low-A ,Number of plate appearances in Low-A,If the player appeared in High-A,Number of games played in High-A,Number of plate appearances in High-A,If the player appeared in Double-A,Number of games played in Double-A,Number of plate appearances in Double-A ,If the player appeared in Triple-A,"Number of games played in Triple-A	",Number of plate appearances in Triple-A ,If the player appeared in the Major Leagues,Number of seasons spent in the minor leagues    ,Total number of games played in the minor leagues,Total number of plate appearances in the minor leagues  ,Total games played in Short-Season and lower levels,Total plate appearances in Short-Season and lower levels,Total games played in Low-A and lower levels,Total plate appearances in Low-A and lower levels,Total games played in High-A and lower levels,Total plate appearances in High-A and lower levels,"Total games played in Double-A and lower levels	",Total plate appearances in Double-A and lower levels,"Total games played in Triple-A and lower levels	",Total plate appearances in Triple-A and lower levels,Average plate appearances per game
1992,38,1049,Anthony Ross,Outfield,Astros,"St. Pius X HS (Kansas City,MO)",17,05/11/75,Right,Right,High School,No,Rookie,Yes,40,152,Yes,45,158,Yes,107,370,Yes,140,467,Yes,34,87, , , ,No,6,366,1234,85,310,192,680,332,1147,366,1234,366,1234,3.37
2004,20,592,Brandon Reddinge,Catcher,Pirates,Washington St U (WA),22,08/16/82,Right,Right,College,No,Short-Season, , , ,Yes,60,201,Yes,11,38, , , , , , , , , ,No,3,71,239,60,201,71,239,71,239,71,239,71,239,3.37
1993,15,423,Chris Unrat,Outfield,Rangers,Arkansas State University,22,03/28/71,Left,Right,College,No,Rookie,Yes,12,35,Yes,36,135,Yes,64,221,Yes,166,547,Yes,45,151,Yes,1,3,No,5,324,1092,48,170,112,391,278,938,323,1089,324,1092,3.37
2006,16,487,Cody Montgomery,Third Base,Phillies,"Dallas Baptist U, TX",23,10/28/83,Switch,Right,College,No,Short-Season, , , ,Yes,46,155, , , , , , , , , , , , ,No,1,46,155,46,155,46,155,46,155,46,155,46,155,3.37
1993,23,638,Dan Barrett,Catcher,Giants,Purdue University,23,11/15/70,Right,Right,College,No,Short-Season, , , ,Yes,35,118, , , , , , , , , , , , ,No,1,35,118,35,118,35,118,35,118,35,118,35,118,3.37
1994,6,174,Derek Foote,Catcher,Braves,Wake Forest-Rolesville HS (Wake Fo,20,11/18/74,Left,Right,High School,No,Rookie,Yes,36,119,Yes,1,1,Yes,107,360,Yes,68,235, , , , , , ,No,4,212,715,37,120,144,480,212,715,212,715,212,715,3.37
2003,43,1274,Hunter Harrigan,Catcher,Rangers,Cowley County CC (KS),20,04/17/83,Right,Right,College,No,Short-Season, , , ,Yes,19,64,Yes,30,101,Yes,28,94, , , ,Yes,1,4,Active,2,78,263,19,64,49,165,77,259,77,259,78,263,3.37
1995,17,472,Jason Lecronier,Outfield,Orioles,McNeese State University,22,03/30/73,Left,Right,College,No,Rookie,Yes,21,80, , , , , , ,Yes,328,1108,Yes,6,10, , , ,No,4,355,1198,21,80,21,80,349,1188,355,1198,355,1198,3.37
1995,10,277,Jeremy DeShazer,Outfield,Astros,"Lake Washington HS (Kirkland,WA)",19,08/18/76,Switch,Right,High School,No,Rookie,Yes,136,468,Yes,9,20, , , ,Yes,2,7, , , , , , ,No,4,147,495,145,488,145,488,147,495,147,495,147,495,3.37
1998,6,193,Jeremy McCarty,Outfield,Diamondba,Ouachita Christian School HS (Monr,19,10/01/79,Right,Right,High School,No,Rookie,Yes,142,479, , , , , , , , , , , , , , , ,No,3,142,479,142,479,142,479,142,479,142,479,142,479,3.37
1995,19,515,John Clifford,Catcher,Rockies,Villanova University,22,08/18/73,Right,Right,College,No,Low-A, , , ,Yes,6,17,Yes,94,342,Yes,17,35, , , , , , ,No,2,117,394,6,17,100,359,117,394,117,394,117,394,3.37
2002,19,563,Jordan Baker,First Base,Marlins,"Zane Trace HS (Chillicothe,OH)",19,09/15/83,Left,Left,High School,No,Rookie,Yes,76,256, , , , , , , , , , , , , , , ,No,2,76,256,76,256,76,256,76,256,76,256,76,256,3.37
1995,28,786,Les Dennis,Shortstop,Yankees,University of Portland,22,06/03/73,Right,Right,College,Yes,Short-Season,Yes,3,9,Yes,120,471,Yes,56,178,Yes,175,500,Yes,115,422, , , ,No,6,469,1580,123,480,179,658,354,1158,469,1580,469,1580,3.37
1999,34,1036,Patrick O'sulliv,Outfield,Mets,Austin Peay State University,22,03/22/77,Right,Right,College,No,Rookie,Yes,51,171,Yes,1,4,Yes,10,43,Yes,37,118,Yes,13,41, , , ,No,4,112,377,52,175,62,218,99,336,112,377,112,377,3.37
2006,24,721,Richard Caputo,Third Base,Nationals,"Hofstra U, NY",22,10/03/84,Right,Right,College,No,Short-Season, , , ,Yes,54,182, , , , , , , , , , , , ,Active,2,54,182,54,182,54,182,54,182,54,182,54,182,3.37
1994,43,1195,Rodger Harris,Second Base,Cardinals,"Tulare Union HS (Tulare,CA)",19,08/30/75,Switch,Right,High School,No,Rookie,Yes,89,318, , , ,Yes,85,269, , , , , , , , , ,No,3,174,587,89,318,174,587,174,587,174,587,174,587,3.37
1994,13,363,Sean Hugo,Outfield,Orioles,Oklahoma State University,22,09/07/72,Left,Left,College,Yes,Low-A, , , , , , ,Yes,59,220,Yes,75,240,Yes,43,137, , , ,No,3,177,597,0,0,59,220,134,460,177,597,177,597,3.37
1993,13,363,Steven Soliz,Catcher,Indians,Cal State Los Angeles University,22,01/27/71,Right,Right,College,No,Short-Season, , , ,Yes,56,224, , , ,Yes,95,353,Yes,147,482,Yes,175,535,No,8,473,1594,56,224,56,224,151,577,298,1059,473,1594,3.37
2005,19,569,Timothy Grogan,Third Base,Mets,"Western Kentucky U, KY",21,03/30/84,Left,Right,College,Yes,Short-Season, , , ,Yes,82,276, , , , , , , , , , , , ,No,2,82,276,82,276,82,276,82,276,82,276,82,276,3.37
1995,22,611,A.J. Walkanoff,Catcher,Dodgers,Creighton University,21,03/04/74,Right,Right,College,No,Short-Season, , , ,Yes,38,129, , , ,Yes,29,96, , , , , , ,No,2,67,225,38,129,38,129,67,225,67,225,67,225,3.36
2001,25,761,Andy Neufeld,Shortstop,Athletics,University of Georgia,22,02/21/79,Left,Right,College,Yes,Short-Season, , , ,Yes,55,176, , , ,Yes,102,378, , , ,Yes,17,30,No,3,174,584,55,176,55,176,157,554,157,554,174,584,3.36
1997,21,645,Antoine Ide,Outfield,Orioles,"Madison HS (Portland,OR)",18,03/02/79,Right,Right,High School,No,Rookie,Yes,80,281, , , ,Yes,26,75, , , , , , , , , ,No,3,106,356,80,281,106,356,106,356,106,356,106,356,3.36
2000,15,460,Armando Tejero,First Base,Braves,"Elvira M Colon (Santa Isabel,PR)",18,07/11/82,Left,Left,High School,No,Rookie,Yes,53,178, , , , , , , , , , , , , , , ,No,2,53,178,53,178,53,178,53,178,53,178,53,178,3.36
1995,40,1102,Billy Reed,Shortstop,Rangers,Auburn University,22,05/09/73,Right,Right,College,No,Short-Season, , , ,Yes,45,151, , , , , , , , , , , , ,No,1,45,151,45,151,45,151,45,151,45,151,45,151,3.36
1993,19,531,Blair Hodson,First Base,Indians,Yale University,21,01/13/72,Left,Right,College,No,Short-Season, , , ,Yes,60,210,Yes,77,251, , , , , , , , , ,No,2,137,461,60,210,137,461,137,461,137,461,137,461,3.36
1997,17,510,Bobby Hill,Shortstop,Mets,Gainesville HS (FL),18,06/25/79,Left,Right,High School,No,Rookie,Yes,98,355, , , ,Yes,86,294,Yes,155,490, , , , , , ,No,5,339,1139,98,355,184,649,339,1139,339,1139,339,1139,3.36
2002,16,467,Brian Ellerson,Third Base,Expos,Montclair State University,23,09/18/79,Right,Right,College,No,Rookie,Yes,8,23,Yes,15,48,Yes,61,224,Yes,49,152, , , , , , ,No,3,133,447,23,71,84,295,133,447,133,447,133,447,3.36
1999,50,1458,Byron Russell,Outfield,Royals,"Pamplico County HS (Bayboro,NC)",19,11/24/80,Left,Left,High School,No,Rookie,Yes,47,158, , , , , , , , , , , , , , , ,No,1,47,158,47,158,47,158,47,158,47,158,47,158,3.36
1996,20,595,Cale Carter,Outfield,Angels,Stanford University,23,09/18/73,Left,Right,College,Yes,High-A, , , , , , ,Yes,30,94,Yes,63,215,Yes,7,27, , , ,No,2,100,336,0,0,30,94,93,309,100,336,100,336,3.36
1998,20,588,Chris Kelly,Third Base,Cardinals,Catawba College,21,05/29/77,Right,Right,College,No,Short-Season, , , ,Yes,19,68,Yes,26,83, , , , , , , , , ,No,3,45,151,19,68,45,151,45,151,45,151,45,151,3.36
1995,33,925,Corey Walker,Outfield,Braves,Teikyo Westmar College (IA),21,06/01/74,Right,Left,College,No,Rookie,Yes,33,111, , , , , , , , , , , , , , , ,No,1,33,111,33,111,33,111,33,111,33,111,33,111,3.36
1992,31,864,Craig Smith,Shortstop,Brewers,New Mexico State University,21,09/19/71,Right,Right,College,No,Rookie,Yes,28,101, , , ,Yes,53,160,Yes,68,239, , , , , , ,No,3,149,500,28,101,81,261,149,500,149,500,149,500,3.36
1998,16,474,Derick Urquhart,Outfield,Expos,University of South Carolina,23,12/20/75,Left,Left,College,No,Short-Season, , , ,Yes,76,274,Yes,54,195,Yes,108,286,Yes,224,783,Yes,14,59,No,6,476,1597,76,274,130,469,238,755,462,1538,476,1597,3.36
1993,3,73,Ed Randolph,Outfield,Mariners,"Roosevelt HS (Dallas,TX)",19,10/17/74, ,Right,High School,No,Rookie,Yes,60,205, , , ,Yes,70,219,Yes,72,254, , , , , , ,No,4,202,678,60,205,130,424,202,678,202,678,202,678,3.36
1994,26,729,Eddie Comeaux,Outfield,Rangers,University of California-Berkeley,21,07/16/73,Right,Right,College,No,Short-Season, , , ,Yes,69,252,Yes,90,282, , , , , , , , , ,No,2,159,534,69,252,159,534,159,534,159,534,159,534,3.36
1993,43,1198,Eric Ford,Outfield,Red Sox,Jacksonville State University,22,10/04/71,Right,Right,College,No,Rookie,Yes,8,38,Yes,82,264, , , , , , , , , , , , ,No,2,90,302,90,302,90,302,90,302,90,302,90,302,3.36
2004,2,54,Erick San Pedro,Catcher,Expos,U Miami (FL),21,10/05/83,Right,Right,College,No,Rookie,Yes,4,14,Yes,28,104,Yes,61,215,Yes,7,24, , , ,Yes,21,50,Active,4,121,407,32,118,93,333,100,357,100,357,121,407,3.36
2006,26,796,Garrett Bussiere,Catcher,Cardinals,"UC Berkeley, CA",21,08/28/85,Right,Right,College,Yes,Rookie,Yes,22,74, , , , , , , , , , , , , , , ,No,1,22,74,22,74,22,74,22,74,22,74,22,74,3.36
1999,41,1225,Glenn Katz,Outfield,Devil Ray,University of Connecticut,22,01/30/77,Right,Right,College,No,Low-A, , , , , , ,Yes,55,185, , , , , , , , , ,No,1,55,185,0,0,55,185,55,185,55,185,55,185,3.36
1992,14,384,Jay Simpson,Outfield,Angels,University of South Alabama,22,05/29/70,Switch,Right,College,No,Short-Season, , , ,Yes,6,25,Yes,51,189,Yes,166,536, , , , , , ,No,3,223,750,6,25,57,214,223,750,223,750,223,750,3.36
1998,32,947,Jim Essian,Catcher,Royals,Troy HS (MI),19,11/08/79,Switch,Right,High School,No,Rookie,Yes,31,96, , , ,Yes,27,90,Yes,82,285, , , , , , ,No,4,140,471,31,96,58,186,140,471,140,471,140,471,3.36
2001,44,1328,Jon Williams,Catcher,Giants,University of Missouri,22,05/18/79,Left,Right,College,Yes,Rookie,Yes,49,186,Yes,67,216, , , ,Yes,2,2,Yes,3,3, , , ,No,4,121,407,116,402,116,402,118,404,121,407,121,407,3.36
1998,26,781,Josh Shaffer,Third Base,Angels,"Esperanza HS (Yorba Linda,CA)",18,06/26/80,Left,Right,High School,No,Short-Season, , , ,Yes,66,255,Yes,116,424,Yes,138,428,Yes,204,653, , , ,No,7,524,1760,66,255,182,679,320,1107,524,1760,524,1760,3.36
2000,32,955,Kevin Sullivan,Catcher,Phillies,Carthage College,23,10/04/77,Right,Right,College,Yes,Short-Season, , , ,Yes,12,42,Yes,11,37,Yes,81,303,Yes,57,160,Yes,4,12,No,3,165,554,12,42,23,79,104,382,161,542,165,554,3.36
1992,7,183,Luis Martinez,Catcher,Expos,"John F. Kennedy HS (Santa Isabel,",18,09/11/74,Right,Right,High School,No,Rookie,Yes,61,205, , , , , , , , , , , , , , , ,No,3,61,205,61,205,61,205,61,205,61,205,61,205,3.36
1992,42,1162,Mack Chambers,Second Base,Indians,Seminole Junior College,19,02/08/73,Right,Right,College,No,Rookie,Yes,92,313, , , ,Yes,3,6, , , , , , , , , ,No,3,95,319,92,313,95,319,95,319,95,319,95,319,3.36
2004,31,926,Marcus Townsend,Outfield,Diamondba,Southern U (LA),22,04/20/82,Right,Right,College,Yes,Rookie,Yes,44,148, , , , , , , , , , , , , , , ,No,1,44,148,44,148,44,148,44,148,44,148,44,148,3.36
1995,27,757,Matthew Taylor,Shortstop,Braves,Cal State Hayward University,21,03/07/74,Left,Right,College,No,Rookie,Yes,35,122,Yes,10,29, , , , , , , , , , , , ,No,1,45,151,45,151,45,151,45,151,45,151,45,151,3.36
1993,5,147,Mike Gargiulo,Catcher,Orioles,"Bishop McDevitt HS (Harrisburg,PA)",18,01/22/75,Left,Right,High School,No,Rookie,Yes,115,415, , , , , , ,Yes,90,273, , , , , , ,No,5,205,688,115,415,115,415,205,688,205,688,205,688,3.36
1994,50,1354,Mike Martin,Second Base,Tigers,Boston College,21,02/19/73,Left,Right,College,No,Short-Season, , , ,Yes,60,202, , , ,Yes,6,20, , , , , , ,No,2,66,222,60,202,60,202,66,222,66,222,66,222,3.36
2000,9,264,Mike Russell,Catcher,Orioles,"Bothell HS (Bothell,WA)",19,08/14/81,Right,Right,High School,No,Rookie,Yes,34,118,Yes,117,406,Yes,119,382,Yes,109,368, , , , , , ,No,7,379,1274,151,524,270,906,379,1274,379,1274,379,1274,3.36
1997,6,179,Paul Chiaffredo,Catcher,Blue Jays,Santa Clara University,21,05/30/76,Right,Right,College,No,Short-Season, , , ,Yes,48,172,Yes,13,54,Yes,216,726,Yes,292,1025,Yes,146,424,No,10,715,2401,48,172,61,226,277,952,569,1977,715,2401,3.36
2003,37,1115,Paul Frisella,Outfield,Cardinals,Southern Illinois U (IL),22,04/10/81,Right,Right,College,No,Rookie,Yes,60,199,Yes,7,23,Yes,51,174, , , , , , , , , ,No,2,118,396,67,222,118,396,118,396,118,396,118,396,3.36
1996,42,1241,Ramon Fernandez,Outfield,Brewers,"Miguel Melendez Munoz HS (Cayey,PR",19,09/21/77,Right,Right,High School,No,Rookie,Yes,151,507, , , , , , , , , , , , , , , ,No,3,151,507,151,507,151,507,151,507,151,507,151,507,3.36
1999,34,1017,Robert Hlousek,Third Base,Tigers,University of Missouri-St. Louis,22,07/29/77,Right,Right,College,No,Short-Season, , , ,Yes,36,121,Yes,30,103,Yes,3,8, , , , , , ,No,2,69,232,36,121,66,224,69,232,69,232,69,232,3.36
1993,5,143,Rod Walker,Shortstop,Rangers,"Hyde Park HS (Chicago,IL)",17,02/08/76,Right,Right,High School,No,Rookie,Yes,116,408,Yes,13,26, , , , , , , , , , , , ,No,3,129,434,129,434,129,434,129,434,129,434,129,434,3.36
1993,28,791,Ron Shankle,Shortstop,Orioles,Essex Community College (MD),19,05/13/74,Right,Right,College,No,Rookie,Yes,72,242, , , , , , , , , , , , , , , ,No,2,72,242,72,242,72,242,72,242,72,242,72,242,3.36
1996,30,884,Scott Conway,First Base,Marlins,"Lenape HS (Mount Laurel,NJ)",18,10/18/78,Left,Left,High School,No,Rookie,Yes,71,243, , , , , , ,Yes,9,26, , , , , , ,No,3,80,269,71,243,71,243,80,269,80,269,80,269,3.36
1992,28,792,Ted Rich,Second Base,White Sox,University of Florida,23,08/13/69,Right,Right,College,No,Short-Season, , , ,Yes,48,158,Yes,42,144, , , , , , , , , ,No,2,90,302,48,158,90,302,90,302,90,302,90,302,3.36
2004,8,251,William Arnold,Shortstop,Braves,Tallahassee CC (FL),21,08/03/83,Right,Right,College,Yes,Rookie,Yes,100,346, , , ,Yes,79,249,Yes,104,357, , , , , , ,Active,4,283,952,100,346,179,595,283,952,283,952,283,952,3.36
1997,22,662,Alex Tolbert,First Base,Pirates,Western Carolina University,22,01/20/75,Left,Right,College,No,Rookie,Yes,31,106,Yes,12,38, , , , , , , , , , , , ,No,2,43,144,43,144,43,144,43,144,43,144,43,144,3.35
1997,27,834,Anthony Pigott,Outfield,Devil Ray,Elon University,21,06/13/76,Right,Right,College,No,Rookie,Yes,46,159,Yes,10,21,Yes,29,102,Yes,167,599,Yes,129,396, , , ,No,5,381,1277,56,180,85,282,252,881,381,1277,381,1277,3.35
1992,19,540,Bob Mumma,Catcher,White Sox,University of Maryland-Baltimore C,21,03/16/71,Right,Right,College,No,Rookie,Yes,9,19,Yes,1,5,Yes,95,328, , , , , , , , , ,No,3,105,352,10,24,105,352,105,352,105,352,105,352,3.35
2000,39,1179,Brandon Simon,Outfield,Diamondba,West Hills College,20,09/09/80,Left,Left,College,No,Rookie,Yes,60,212,Yes,86,320,Yes,75,234,Yes,58,169, , , , , , ,No,4,279,935,146,532,221,766,279,935,279,935,279,935,3.35
2003,16,476,Brian Schweiger,Catcher,Mariners,California St U (CA),21,08/21/82,Right,Right,College,Yes,Rookie,Yes,42,147,Yes,52,165,Yes,8,28,Yes,18,67,Yes,27,90,Yes,6,15,No,4,153,512,94,312,102,340,120,407,147,497,153,512,3.35
1996,19,565,Brian Ussery,Outfield,Angels,University of Tampa,22,02/25/74,Switch,Right,College,Yes,Short-Season, , , ,Yes,54,186,Yes,1,1,Yes,10,31, , , , , , ,No,2,65,218,54,186,55,187,65,218,65,218,65,218,3.35
2000,44,1315,Bryan Anderson,Shortstop,Reds,Southwest Texas State University,22,07/10/78,Right,Right,College,No,Rookie,Yes,58,260, , , ,Yes,80,283,Yes,164,624,Yes,192,485,Yes,6,22,No,6,500,1674,58,260,138,543,302,1167,494,1652,500,1674,3.35
2004,29,870,Cory Taillon,Catcher,Cardinals,California Poly St U (CA),22,05/18/82,Right,Right,College,No,Short-Season, , , ,Yes,20,67, , , , , , , , , , , , ,No,1,20,67,20,67,20,67,20,67,20,67,20,67,3.35
1994,27,738,Darren Grass,Catcher,Padres,University of Minnesota,23,09/06/71,Right,Right,College,Yes,Short-Season, , , ,Yes,48,178, , , ,Yes,23,60, , , , , , ,No,2,71,238,48,178,48,178,71,238,71,238,71,238,3.35
1995,5,125,Dawan Elliott,Outfield,Pirates,Long Branch HS (NJ),19,07/30/76,Left,Left,High School,No,Rookie,Yes,58,213,Yes,144,499,Yes,27,56, , , , , , , , , ,No,5,229,768,202,712,229,768,229,768,229,768,229,768,3.35
1999,20,602,Elliott Sarabia,Shortstop,Pirates,UNLV,23,02/25/76,Right,Right,College,No,Short-Season, , , ,Yes,34,114, , , , , , , , , , , , ,No,1,34,114,34,114,34,114,34,114,34,114,34,114,3.35
2002,17,494,Ernest Woodruff,Catcher,Devil Ray,Gulf Coast Community College,20,09/23/82,Right,Right,College,No,Rookie,Yes,73,252,Yes,33,103, , , , , , , , , , , , ,No,4,106,355,106,355,106,355,106,355,106,355,106,355,3.35
2004,26,774,Gabriel Suarez,Shortstop,Expos,South Mountain College,20,12/14/84,Right,Right,College,Yes,Rookie,Yes,42,134,Yes,28,101, , , ,Yes,1,3, , , , , , ,Active,4,71,238,70,235,70,235,71,238,71,238,71,238,3.35
1993,44,1244,Greg Hubley,Outfield,Marlins,College of San Mateo,21,11/22/72,Right,Right,College,No,Rookie,Yes,48,161, , , , , , , , , , , , , , , ,No,1,48,161,48,161,48,161,48,161,48,161,48,161,3.35
1996,26,782,Jason Katz,Shortstop,Braves,New Mexico Junior College,23,10/07/73,Switch,Right,College,No,Rookie,Yes,45,161,Yes,7,32,Yes,74,254,Yes,6,16,Yes,18,39, , , ,No,3,150,502,52,193,126,447,132,463,150,502,150,502,3.35
1992,11,309,John Fantauzzi,First Base,Padres,Florida International University,21,11/26/71,Left,Left,College,No,Rookie,Yes,16,67, , , ,Yes,294,1052,Yes,94,233, , , , , , ,No,5,404,1352,16,67,310,1119,404,1352,404,1352,404,1352,3.35
2003,7,214,Jose Perez,Outfield,Yankees,Oceanside HS (CA),18,09/15/85,Left,Left,High School,No,Rookie,Yes,77,263,Yes,28,89, , , , , , , , , , , , ,No,3,105,352,105,352,105,352,105,352,105,352,105,352,3.35
2003,35,1043,Justin Mattison,Outfield,Marlins,Virginia Commonwealth U (VA),22,06/24/81,Left,Left,College,No,Short-Season, , , ,Yes,52,174, , , , , , , , , , , , ,No,2,52,174,52,174,52,174,52,174,52,174,52,174,3.35
2005,41,1230,Justin Tordi,Shortstop,Reds,"U Florida, FL",21,04/09/84,Right,Right,College,Yes,Rookie,Yes,56,196, , , ,Yes,24,71,Yes,25,85, , , , , , ,Active,2,105,352,56,196,80,267,105,352,105,352,105,352,3.35
2005,47,1404,Matt Garrett,Outfield,Reds,"Grand Rapids CC, MI",21,12/22/84,Right,Right,College,No,Rookie,Yes,23,77, , , , , , , , , , , , , , , ,No,1,23,77,23,77,23,77,23,77,23,77,23,77,3.35
1998,17,494,Matthew Denure,Shortstop,Phillies,Ripon College,22,06/05/76,Right,Right,College,No,Short-Season, , , ,Yes,48,161, , , , , , , , , , , , ,No,1,48,161,48,161,48,161,48,161,48,161,48,161,3.35
1997,19,582,Michael Johns,Shortstop,Rockies,Tulane University,22,08/26/75,Right,Right,College,No,Short-Season, , , ,Yes,62,231,Yes,59,174, , , , , , , , , ,No,2,121,405,62,231,121,405,121,405,121,405,121,405,3.35
1994,17,475,Michael Nadeau,Second Base,Orioles,George Fox College (OR),21,08/31/73,Right,Right,College,No,Rookie,Yes,56,198, , , , , , ,Yes,22,63, , , , , , ,No,2,78,261,56,198,56,198,78,261,78,261,78,261,3.35
1992,47,1313,Michael Shipman,Catcher,Phillies,Dexter HS (MO),18,03/29/74,Right,Right,High School,No,Rookie,Yes,59,200,Yes,13,41, , , , , , , , , , , , ,No,3,72,241,72,241,72,241,72,241,72,241,72,241,3.35
1995,33,922,Nathan Coats,Outfield,Indians,Community College of San Francisco,21,05/01/74,Right,Right,College,No,Rookie,Yes,20,68,Yes,43,143, , , , , , , , , , , , ,No,2,63,211,63,211,63,211,63,211,63,211,63,211,3.35
2003,13,393,Nick Conte,Catcher,Giants,St Marys University (CA),21,01/25/82,Right,Right,College,Yes,Rookie,Yes,18,53,Yes,44,149,Yes,113,385, , , , , , , , , ,No,4,175,587,62,202,175,587,175,587,175,587,175,587,3.35
1992,23,632,Paul Jones,First Base,Orioles,Cumberland Junior College (KY),22,05/22/70,Left,Left,College,No,Rookie,Yes,51,171, , , , , , , , , , , , , , , ,No,2,51,171,51,171,51,171,51,171,51,171,51,171,3.35
1997,11,344,Reynaldo Torres,First Base,Cardinals,"Aurea Quiles HS (Guanica,PR)",18,03/14/79,Right,Right,High School,No,Rookie,Yes,114,382, , , , , , , , , , , , , , , ,No,3,114,382,114,382,114,382,114,382,114,382,114,382,3.35
1994,16,431,Robinson Cancel,Catcher,Brewers,"Leonides Morales HS (Lajas,PR)",18,05/04/76,Right,Right,High School,No,Rookie,Yes,75,242, , , ,Yes,89,289,Yes,75,260,Yes,124,426,Yes,39,131,Yes,6,402,1348,75,242,164,531,239,791,363,1217,402,1348,3.35
1994,30,820,Ryan Miller,Shortstop,Mets,Long Beach State University,22,10/22/72,Right,Right,College,Yes,Short-Season, , , ,Yes,68,303, , , ,Yes,249,909,Yes,180,542,Yes,205,598,No,8,702,2352,68,303,68,303,317,1212,497,1754,702,2352,3.35
2000,37,1113,Sean Patterson,First Base,Reds,"Cascade HS (Everett,WA)",19,12/28/81,Right,Right,High School,No,Rookie,Yes,17,57, , , , , , , , , , , , , , , ,No,1,17,57,17,57,17,57,17,57,17,57,17,57,3.35
1997,50,1414,Sheldon Philip-G,Outfield,Angels,Glendale Community College (CA),23,02/17/74,Right,Right,College,No,Rookie,Yes,17,61,Yes,19,58,Yes,13,45, , , , , , , , , ,No,2,49,164,36,119,49,164,49,164,49,164,49,164,3.35
1993,19,536,Steven Santucci,Outfield,Cardinals,Assumption College (MA),22,12/16/71,Right,Right,College,No,Short-Season, , , ,Yes,138,530,Yes,37,104,Yes,217,695,Yes,11,20, , , ,No,4,403,1349,138,530,175,634,392,1329,403,1349,403,1349,3.35
1997,33,1004,Blake Ledbetter,Catcher,Cardinals,"Bertrand,MO",20,03/09/77,Right,Right,None,No,Rookie,Yes,53,177, , , , , , , , , , , , , , , ,No,2,53,177,53,177,53,177,53,177,53,177,53,177,3.34
2004,10,300,Brady Toops,Catcher,Cardinals,U Arkansas (AR),23,07/31/81,Left,Right,College,No,Short-Season, , , ,Yes,33,105,Yes,49,161,Yes,37,131, , , , , , ,No,3,119,397,33,105,82,266,119,397,119,397,119,397,3.34
1993,61,1575,Brett McCabe,First Base,Cubs,Centanary College,22,09/01/71,Right,Right,College,No,Short-Season, , , ,Yes,38,127, , , , , , , , , , , , ,No,1,38,127,38,127,38,127,38,127,38,127,38,127,3.34
2003,5,129,Bryan Opdyke,Catcher,Brewers,Catalina Foothills HS (AZ),19,08/07/84,Left,Right,High School,No,Rookie,Yes,94,314, , , , , , , , , , , , , , , ,No,3,94,314,94,314,94,314,94,314,94,314,94,314,3.34
1994,52,1395,Calvin Coach,Outfield,Cardinals,University of South Carolina-Aiken,22,11/10/72,Left,Left,College,No,Rookie,Yes,48,139, , , ,Yes,65,238, , , , , , , , , ,No,2,113,377,48,139,113,377,113,377,113,377,113,377,3.34
1999,9,290,Chris Curry,Catcher,Cubs,Mississippi State University,22,11/17/77,Right,Right,College,Yes,Short-Season, , , ,Yes,41,137,Yes,77,247,Yes,76,275,Yes,286,950,Yes,7,20,No,7,487,1629,41,137,118,384,194,659,480,1609,487,1629,3.34
2001,14,416,Clint Hoover,First Base,Astros,University of California-Berkeley,22,03/26/79,Right,Right,College,No,Short-Season, , , ,Yes,35,117, , , , , , , , , , , , ,No,2,35,117,35,117,35,117,35,117,35,117,35,117,3.34
2004,19,563,David Hernandez,Outfield,Angels,Miami Dade CC South (FL),19,05/06/85,Right,Right,College,No,Rookie,Yes,54,179, , , ,Yes,7,25, , , , , , , , , ,Active,2,61,204,54,179,61,204,61,204,61,204,61,204,3.34
1997,29,871,David Ullery,Catcher,Royals,Indiana State University,23,12/16/74,Left,Right,College,No,Short-Season, , , ,Yes,12,28,Yes,18,57,Yes,134,440,Yes,181,631,Yes,30,96,No,8,375,1252,12,28,30,85,164,525,345,1156,375,1252,3.34
1996,13,388,Derrick Peoples,Outfield,Dodgers,"Ryan HS (Denton,TX)",18,02/06/78,Switch,Right,High School,No,Short-Season, , , ,Yes,47,157, , , , , , , , , , , , ,No,1,47,157,47,157,47,157,47,157,47,157,47,157,3.34
2004,10,293,Douglas Reinhard,Third Base,Angels,Santa Margarita HS (CA),19,10/22/85,Right,Right,High School,No,Rookie,Yes,70,238,Yes,18,56, , , , , , , , , , , , ,Active,3,88,294,88,294,88,294,88,294,88,294,88,294,3.34
1998,30,911,Drew James,Catcher,Braves,Southeastern Oklahoma University (,22,07/01/76,Right,Right,College,No,Rookie,Yes,27,90, , , ,Yes,40,134, , , , , , , , , ,No,2,67,224,27,90,67,224,67,224,67,224,67,224,3.34
1992,31,862,Eric Walls,Outfield,Royals,Kaskaskia Community College,20,09/13/72,Left,Left,College,No,Rookie,Yes,75,284, , , ,Yes,201,638, , , , , , , , , ,No,4,276,922,75,284,276,922,276,922,276,922,276,922,3.34
